,sentence,word,ner
1078,8, वाणी ,B-PERSON
1079,8, से ,B-PERSON
1080,8, उस ,B-PERSON
1081,8, सीता ,B-PERSON
1082,8, से ,B-PERSON
1083,8, बोला ,B-PERSON
1084,8, राम ,B-PERSON
1085,8, के ,B-PERSON
1086,8, सन्देश ,B-PERSON
1087,8, से ,B-PERSON
1088,8, हे ,B-PERSON
1089,8, देवि ,B-PERSON
1090,8, ! ,B-PERSON
1091,8, मैं ,B-PERSON
1092,8, तेरे ,B-PERSON
1094,8, दृत ,B-PERSON
1095,8, आया ,B-PERSON
1098,8, पैदेहि ,B-PERSON
1099,8, ! ,B-PERSON
1100,8, राम ,B-PERSON
1101,8, कुशल ,B-PERSON
1105,8, उन्होंने ,B-PERSON
1106,8, तुझ ,B-PERSON
1107,8, कुमाक ,B-PERSON
1108,8, कहा ,B-PERSON
1110,8, शोक ,B-PERSON
1112,8, सपी ,B-PERSON
1114,8, सीता ,B-PERSON
1115,8, के ,B-PERSON
1116,8, वचन ,B-PERSON
1118,8, पुनकर ,B-PERSON
1119,8, पवनपुत्र ,B-PERSON
1120,8, हनुमान ,B-PERSON
1121,8, उनके ,B-PERSON
1126,8, तव ,B-PERSON
1127,8, उस ,B-PERSON
1128,8, महाबाहू ,B-PERSON
1129,8, ने ,B-PERSON
1130,8, जनकपुत्री ,B-PERSON
1131,8, को ,B-PERSON
1135,8, वह ,B-PERSON
1146,8," , ",B-PERSON
1149,8, ) ,B-PERSON
1150,8, हनुमान ,B-PERSON
1151,8, मोर ,B-PERSON
1152,8, सीता ,B-PERSON
1153,8, का ,B-PERSON
1154,8, सम्बाद। ,B-PERSON
1155,8, सीता ,B-PERSON
1156,8, के ,B-PERSON
1160,8, भयङ्कर ,B-PERSON
1162,8, वाला ,B-PERSON
1163,8, इनुपान् ,B-PERSON
1164,8, हाथ ,B-PERSON
1167,8, माथे ,B-PERSON
1174,9,देव ,B-PERSON
1175,9, निःसन्देह ,B-PERSON
1179,9, राम ,B-PERSON
1180,9, लक्ष्मण ,B-PERSON
1181,9, और ,B-PERSON
1182,9, मुझको ,B-PERSON
1188,9, उसके ,B-PERSON
1189,9, भाई ,B-PERSON
1190,9, विभीषण ,B-PERSON
1191,9, ने ,B-PERSON
1193,9, कापिस ,B-PERSON
1201,9, रावण ,B-PERSON
1208,9, सीता ,B-PERSON
1209,9, फे ,B-PERSON
1210,9, राम ,B-PERSON
1211,9, को ,B-PERSON
1212,9, लन्देश ,B-PERSON
1213,9, यह ,B-PERSON
1215,9, उस ,B-PERSON
1218,9, सन्तुष्ट ,B-PERSON
1221,9, निपुण ,B-PERSON
1222,9, वानर ,B-PERSON
1223,9, श्रेष्ठ ,B-PERSON
1224,9, सीता ,B-PERSON
1226,9, यह ,B-PERSON
1228,9, पोका ,B-PERSON
1230,9, १ ,B-PERSON
1231,9, हे ,B-PERSON
1232,9, देवि ,B-PERSON
1233,9, यह ,B-PERSON
1234,9, तेरा ,B-PERSON
1235,9, उस ,B-PERSON
1236,9, महात्मा ,B-PERSON
1237,9, की ,B-PERSON
1238,9, पत्नी ,B-PERSON
1241,9, सटमा ,B-PERSON
1242,9, वचन ,B-PERSON
1244,9, तेरे ,B-PERSON
1246,9, हे ,B-PERSON
1247,9, देवि ,B-PERSON
1249,9, वचन ,B-PERSON
1253,9, राम ,B-PERSON
1266,9, राम ,B-PERSON
1275,9, सुन्दर ,B-PERSON
1276,9, दिव्य ,B-LOCATION
1277,9, चूड़ामणि ,B-PERSON
1278,9, (शिरोमणि) ,B-PERSON
1279,9, खोलकर ,B-PERSON
1280,9," ""यह ",B-LOCATION
1281,9, राम ,B-PERSON
1287,9, सीता ,B-PERSON
1288,9, ने ,B-PERSON
1289,9, हनुमान ,B-PERSON
1290,9, को ,B-PERSON
1297,10, महायाह ,B-PERSON
1298,10, राम ,B-PERSON
1299,10, इस ,B-LOCATION
1300,10, दुखि ,B-PERSON
1301,10, समुद्र ,B-PERSON
1317,10, राक्षसों ,B-PERSON
1326,10, हे ,B-PERSON
1328,10, तेरा ,B-PERSON
1332,10, तब ,B-PERSON
1333,10, हनुमान ,B-PERSON
1334,10, ने ,B-PERSON
1335,10, उस ,B-PERSON
1336,10, प्रमदाधन ,B-PERSON
1343,10, पंछी ,B-PERSON
1349,10, वेळ ,B-PERSON
1350,10, यूटों ,B-PERSON
1354,10, तव ,B-PERSON
1356,10, सुखों ,B-PERSON
1357,10, पाली ,B-LOCATION
1358,10, * ,B-PERSON
1361,10, भागे ,B-PERSON
1362,10, जो ,B-PERSON
1363,10, हनुमान ,B-PERSON
1364,10, के ,B-PERSON
1366,10, युर ,B-PERSON
1376,10, हनुमान ,B-PERSON
1377,10, ने ,B-PERSON
1378,10, राक्षसों ,B-PERSON
1379,10, से ,B-PERSON
1380,10, इन्दयुत ,B-PERSON
1381,10, मांगा ,B-PERSON
1384,10, युद्ध ,B-PERSON
1398,10, दूसरा ,B-PERSON
1400,10, होसका ,B-PERSON
1401,10, था ,B-LOCATION
1402,10, । ,B-PERSON
1403,10, रामसियें ,B-PERSON
1404,10, रावण ,B-PERSON
1405,10, के ,B-PERSON
1407,10, जाकर ,B-PERSON
1408,10, एक ,B-PERSON
1409,10, अयङ्कार ,B-PERSON
1410,10, विरुप ,B-PERSON
1411,10, चानर ,B-PERSON
1412,10, का ,B-PERSON
1414,10, उसे ,B-PERSON
1415,10, पतलाती ,B-LOCATION
1416,10, भैई ,B-PERSON
1417,10, ।। ,B-PERSON
1419,10, पवनपुत्र ,B-PERSON
1420,10, वीर ,B-PERSON
1421,10, उन ,B-PERSON
1422,10, किंकरों ,B-PERSON
1423,10, को ,B-PERSON
1424,10, मार ,B-PERSON
1426,10, वह ,B-PERSON
1427,10, महावीर ,B-PERSON
1428,10, युद्ध ,B-PERSON
1431,10, देउदी ,B-PERSON
1441,11, महारथी ,B-PERSON
1442,11, जम्बूपाली ,B-LOCATION
1443,11, अङ्गों ,B-PERSON
1445,11, चूर ,B-PERSON
1449,11, वृक्ष ,I-LOCATION
1450,11, की ,I-LOCATION
1458,11, जम्बूमाली ,B-PERSON
1459,11, और ,B-PERSON
1460,11, महावली ,B-PERSON
1461,11, किंकरों ,B-PERSON
1462,11, को ,B-PERSON
1465,11, पून ,B-PERSON
1467,11, रावण ,B-PERSON
1468,11, क्रोध ,B-PERSON
1473,11, नेश ,B-PERSON
1474,11, लाल ,B-PERSON
1476,11, तब ,B-PERSON
1477,11, वह ,B-PERSON
1478,11, बीर ,B-PERSON
1479,11, वानर ,B-PERSON
1480,11, सन ,B-PERSON
1481,11, सेनापत्तियों ,B-LOCATION
1482,11, को ,B-PERSON
1483,11, सेना ,B-LOCATION
1484,11, और ,B-PERSON
1485,11, चाइनों ,B-LOCATION
1486,11, समेत ,B-PERSON
1487,11, मारकर ,B-PERSON
1488,11, मजा ,B-LOCATION
1489,11, के ,B-PERSON
1490,11, नाश ,B-PERSON
1491,11, में ,B-LOCATION
1492,11, काल ,B-PERSON
1495,11, देखड़ी ,B-PERSON
1497,11, उत्सव ,B-PERSON
1501,11, उन ,B-PERSON
1503,11, सेनापतियों ,I-PERSON
1504,11, को ,B-PERSON
1505,11, अनुघरों ,B-PERSON
1507,11, वाहनों ,B-PERSON
1509,11, मारा ,B-PERSON
1511,11, सुनकर ,B-PERSON
1512,11, राजा ,B-PERSON
1513,11, ने ,B-PERSON
1514,11, युद्ध ,B-PERSON
1517,11, तय्यार ,B-PERSON
1518,11, सामने ,B-LOCATION
1519,11, खड़े ,B-PERSON
1520,11, हुए ,B-PERSON
1521,11, कुमार ,B-PERSON
1522,11, अक्ष ,B-PERSON
1523,11, को ,B-PERSON
1528,11," राने, ",B-PERSON
1529,11, कमर ,B-PERSON
1531,11, छाती ,B-PERSON
1547,11, उस ,B-PERSON
1548,11, पवनपुत्र ,B-PERSON
1549,11, ने ,B-PERSON
1550,11, राक्षस ,B-PERSON
1551,11, को ,B-PERSON
1552,11, शयिती ,B-PERSON
1554,11, मार ,B-PERSON
1556,11, ।। ,B-PERSON
1559,11, मग ,B-PERSON
1561,11, (प०४८-४२ ,I-PERSON
1562,11, ) ,B-PERSON
1563,11, मेघनाद ,B-PERSON
1564,11, से ,B-PERSON
1565,11, युद्ध ,B-PERSON
1566,11, हनुमान ,B-PERSON
1567,11, का ,B-PERSON
1568,11, बन्धना ,B-PERSON
1569,11, और ,B-PERSON
1570,11, रावण ,B-PERSON
1571,11, के ,B-PERSON
1572,11, दर्शन ,B-PERSON
1573,11, जय ,B-PERSON
1574,11, हनुमान ,B-PERSON
1575,11, ने ,B-PERSON
1576,11, कुमार ,B-PERSON
1577,11, अक्ष ,B-PERSON
1578,11, को ,B-PERSON
1579,11, मार ,B-PERSON
1581,11, तब ,B-PERSON
1582,11, महात्मा ,B-PERSON
1583,11, राक्षसपति ,B-PERSON
1584,11, ने ,B-PERSON
1585,11, मन ,B-PERSON
1586,11, को ,B-PERSON
1587,11, एकाग्र ,B-PERSON
1588,11, करके ,B-PERSON
1589,11, देवतुल्य ,B-PERSON
1590,11, इन्द्रजित ,B-PERSON
1591,11, (मेघनाद) ,B-PERSON
1592,11, को ,B-PERSON
1595,11, ।। ,B-PERSON
1601,11, हुए ,B-PERSON
1602,11, पूर्ण ,B-PERSON
1603,11, इन्द्र ,B-PERSON
1604,11, ध्वजवाले ,B-PERSON
1605,11, को ,B-PERSON
1606,11, देखकर ,B-PERSON
1607,11, वानर ,B-PERSON
1608,11, महानाद ,B-PERSON
1609,11, करता ,B-PERSON
1611,11," गर्मा, ",B-PERSON
1615,11, तच ,B-PERSON
1616,11, राक्षस ,B-PERSON
1618,11, उस ,B-PERSON
1623,11, वानर ,B-PERSON
1627,11, पृथिवी ,B-PERSON
1632,12, महा ,B-PERSON
1633,12, हृदय ,B-PERSON
1635,12, रावण ,B-PERSON
1636,12, को ,B-PERSON
1638,12, महान ,B-PERSON
1639,12, हृदय ,B-PERSON
1640,12, वाला ,B-PERSON
1641,12, धानरश्रेष्ठ ,B-LOCATION
1642,12, सावधान ,B-PERSON
1647,12, घोला ,B-PERSON
1648,12," संग२७०५२,५३)हनुमाह ",B-PERSON
1649,12, की ,B-PERSON
1656,12, * ,B-PERSON
1657,12, महात्मा ,B-PERSON
1658,12, वानर ,B-PERSON
1659,12, के ,B-PERSON
1660,12, वचन ,B-PERSON
1663,12, क्रोध ,B-PERSON
1664,12, से ,B-PERSON
1665,12, मूछिताए ,B-PERSON
1666,12, रावण ,B-PERSON
1667,12, ने ,B-PERSON
1668,12, उसके ,B-PERSON
1669,12, वध ,B-PERSON
1670,12, की ,B-PERSON
1671,12, आजादीशापर ,B-PERSON
1672,12, विभीषण ,B-PERSON
1673,12, ने ,B-PERSON
1674,12, इस ,B-PERSON
1677,12, . ,B-PERSON
1680,12, आग ,B-PERSON
1681,12, लंका ,B-LOCATION
1682,12, दाह ,B-PERSON
1683,12, का ,B-LOCATION
1684,12, ओ ,B-PERSON
1690,12, भत्युकि ,B-PERSON
1695,12, मसभाक्तिी ,B-PERSON
1698,12, प्रयल ,B-PERSON
1699,12, राक्षसों ,B-PERSON
1701,12, राजधानी ,B-PERSON
1703,12, अफेला ,B-PERSON
1704,12, हनुमान ,B-PERSON
1705,12, लोगों ,B-PERSON
1706,12, के ,B-PERSON
1709,12, फिर ,B-PERSON
1719,12, विच ,B-PERSON
1720,12, बनुमान ,B-PERSON
1721,12, ने ,B-PERSON
1722,12, जो ,B-PERSON
1725,12, थोशामों ,B-PERSON
1728,12, लगामा ,B-PERSON
1729,12, माहा ,B-PERSON
1730,12," था, ",B-PERSON
1731,12, अब ,B-PERSON
1732,12, इन्द्र ,B-PERSON
1733,12, गुग ,B-PERSON
1735,12, मिस ,B-PERSON
1738,12, क्योंकि ,B-PERSON
1739,12, (हनुमान् ,B-PERSON
1740,12, ) ,B-PERSON
1742,12, दूत ,B-PERSON
1748,12, बानरों ,B-PERSON
1749,12, का ,B-PERSON
1750,12, प्यारा ,B-PERSON
1751,12, भूषण ,B-PERSON
1754,12, वह ,B-PERSON
1759,12, सच ,B-PERSON
1762,12, जली ,B-PERSON
1771,12, क्रोध ,B-PERSON
1773,12, प्रचण्ड ,B-PERSON
1774,12, राक्षस ,B-PERSON
1776,12, चुफा ,B-PERSON
1784,12, । ,B-PERSON
1785,12, हनुमान ,B-PERSON
1786,12, चामर ,B-PERSON
1787,12, न ,B-PERSON
1790,12, दूसरी ,B-PERSON
1791,12, जातियों ,B-PERSON
1793,12, मुकाबिले ,B-PERSON
1795,12, यह ,B-PERSON
1796,12, उस ,B-LOCATION
1797,12, जाति ,B-PERSON
1798,12, का ,B-PERSON
1799,12, नाम ,B-LOCATION
1800,12, या। ,B-PERSON
1818,12, रावण ,B-PERSON
1819,12, ने ,B-PERSON
1820,12, दूत ,B-PERSON
1823,12, घजुमार ,B-PERSON
1824,12, को ,B-PERSON
1825,12, माय ,B-PERSON
1826,12, जान ,B-PERSON
1827,12, फर ,B-PERSON
1830,12, जो ,B-PERSON
1831,12, हनुमान ,B-PERSON
1832,12, ने ,B-PERSON
1833,12, वानरराज ,B-PERSON
1834,12, सुग्रीव ,B-PERSON
1836,12, चढ़ाई ,I-LOCATION
1842,12, बदले ,B-PERSON
1843,12, में ,B-PERSON
1844,12, हनुमान ,B-PERSON
1845,12, के ,B-PERSON
1846,12, सन्मुच ,B-PERSON
1847,12, वानर ,B-PERSON
1848,12, की ,B-PERSON
1849,12, पूंछ ,B-PERSON
1857,12, उस ,B-PERSON
1858,12, वानर ,B-PERSON
1859,12, जाति ,B-PERSON
1865,12, जैसर ,B-PERSON
1867,12, अब ,B-PERSON
1868,12, रूस ,B-LOCATION
1869,12, की ,B-PERSON
1871,12, रीछ ,B-PERSON
1874,12, हनुमान ,B-PERSON
1875,12, जब ,B-PERSON
