,0,1
86,1,"0.005*""राम"" + 0.005*""समुद्र"" + 0.005*""भर"" + 0.005*""सागर"" + 0.005*""सेना"" + 0.005*""सुग्रीव"" + 0.005*""आकाश"" + 0.005*""लक्ष्मण"" + 0.005*""सुन"" + 0.005*""पहुंच"""
87,2,"0.005*""राम"" + 0.005*""समुद्र"" + 0.005*""सुग्रीव"" + 0.005*""सागर"" + 0.005*""सेना"" + 0.005*""भर"" + 0.005*""वानर"" + 0.005*""चल"" + 0.005*""चढ़ाई"" + 0.005*""पहुंच"""
88,3,"0.005*""समुद्र"" + 0.005*""राम"" + 0.005*""सागर"" + 0.005*""आकाश"" + 0.005*""सुग्रीव"" + 0.005*""भर"" + 0.005*""सेना"" + 0.005*""चढ़ाई"" + 0.005*""लक्ष्मण"" + 0.005*""पहुंच"""
89,4,"0.005*""समुद्र"" + 0.005*""राम"" + 0.005*""भर"" + 0.005*""सागर"" + 0.005*""सेना"" + 0.005*""आकाश"" + 0.005*""लक्ष्मण"" + 0.005*""वानर"" + 0.005*""वृक्ष"" + 0.005*""चढ़ाई"""
90,0,"0.004*""रावण"" + 0.004*""विभीषण"" + 0.004*""सीता"" + 0.004*""वचन"" + 0.004*""राम"" + 0.004*""मार"" + 0.004*""समझ"" + 0.004*""युद्ध"" + 0.004*""कह"" + 0.004*""सेना"""
91,1,"0.004*""रावण"" + 0.004*""विभीषण"" + 0.004*""सीता"" + 0.004*""युक्त"" + 0.004*""मन्त्री"" + 0.004*""मार"" + 0.004*""विसर्जन"" + 0.004*""वचन"" + 0.004*""कह"" + 0.004*""हित"""
92,2,"0.021*""रावण"" + 0.017*""सीता"" + 0.017*""विभीषण"" + 0.014*""वचन"" + 0.011*""कह"" + 0.011*""मार"" + 0.011*""सेना"" + 0.011*""मन्त्री"" + 0.011*""सब"" + 0.011*""हित"""
93,3,"0.004*""रावण"" + 0.004*""सीता"" + 0.004*""कह"" + 0.004*""वचन"" + 0.004*""राम"" + 0.004*""मन्त्री"" + 0.004*""विभीषण"" + 0.004*""सब"" + 0.004*""युद्ध"" + 0.004*""सेना"""
94,4,"0.004*""सीता"" + 0.004*""वचन"" + 0.004*""विभीषण"" + 0.004*""मार"" + 0.004*""सब"" + 0.004*""रावण"" + 0.004*""राम"" + 0.004*""कह"" + 0.004*""महावली"" + 0.004*""कामना"""
95,0,"0.019*""सभा"" + 0.019*""बोल"" + 0.019*""रावण"" + 0.015*""काम"" + 0.012*""विचार"" + 0.012*""जान"" + 0.012*""सेना"" + 0.012*""आरम्भ"" + 0.012*""सब"" + 0.012*""पीछे"""
96,1,"0.005*""रावण"" + 0.005*""सोच"" + 0.005*""योग्य"" + 0.005*""विचार"" + 0.005*""सेना"" + 0.005*""सभा"" + 0.005*""बोल"" + 0.005*""काम"" + 0.005*""मुनहरी"" + 0.005*""महावल"""
97,2,"0.005*""सोच"" + 0.005*""बोल"" + 0.005*""रावण"" + 0.005*""जान"" + 0.005*""सेना"" + 0.005*""आरम्भ"" + 0.005*""सभा"" + 0.005*""पीछे"" + 0.005*""काम"" + 0.005*""वचन"""
98,3,"0.005*""रावण"" + 0.005*""बोल"" + 0.005*""काम"" + 0.005*""सभा"" + 0.005*""सेना"" + 0.005*""पीछे"" + 0.005*""विचार"" + 0.005*""सब"" + 0.005*""तुल्य"" + 0.005*""आरम्भ"""
99,4,"0.005*""रावण"" + 0.005*""सभा"" + 0.005*""काम"" + 0.005*""बोल"" + 0.005*""आरम्भ"" + 0.005*""जान"" + 0.005*""सोच"" + 0.005*""सब"" + 0.005*""पीछे"" + 0.005*""तुल्य"""
100,0,"0.020*""विभीषण"" + 0.017*""सुन"" + 0.017*""बोल"" + 0.017*""राम"" + 0.017*""कह"" + 0.015*""वाक्य"" + 0.012*""शत्रु"" + 0.012*""बडा"" + 0.012*""सीता"" + 0.009*""तुल्य"""
101,1,"0.004*""राम"" + 0.004*""विभीषण"" + 0.004*""बोल"" + 0.004*""कह"" + 0.004*""सुन"" + 0.004*""वाक्य"" + 0.004*""शत्रु"" + 0.004*""हित"" + 0.004*""बडा"" + 0.004*""सीता"""
102,2,"0.004*""बोल"" + 0.004*""कह"" + 0.004*""राम"" + 0.004*""विभीषण"" + 0.004*""सुन"" + 0.004*""वाक्य"" + 0.004*""सीता"" + 0.004*""तुल्य"" + 0.004*""हित"" + 0.004*""बडा"""
103,3,"0.004*""कह"" + 0.004*""विभीषण"" + 0.004*""बोल"" + 0.004*""वाक्य"" + 0.004*""बडा"" + 0.004*""शत्रु"" + 0.004*""राम"" + 0.004*""सीता"" + 0.004*""सुन"" + 0.004*""तुल्य"""
104,4,"0.004*""सुन"" + 0.004*""राम"" + 0.004*""वाक्य"" + 0.004*""बोल"" + 0.004*""विभीषण"" + 0.004*""शत्रु"" + 0.004*""कह"" + 0.004*""राजा"" + 0.004*""वचन"" + 0.004*""सीता"""
105,0,"0.005*""कह"" + 0.005*""वाक्य"" + 0.005*""विभीषण"" + 0.005*""कठोर"" + 0.005*""राक्षस"" + 0.005*""रावण"" + 0.005*""भाई"" + 0.005*""छोटा"" + 0.005*""वचन"" + 0.005*""मया"""
106,1,"0.005*""कह"" + 0.005*""हि"" + 0.005*""राक्षस"" + 0.005*""भाई"" + 0.005*""विभीषण"" + 0.005*""वाक्य"" + 0.005*""कठोर"" + 0.005*""वचन"" + 0.005*""रावण"" + 0.005*""यच्चोकं"""
